Order_Id,Customer_Id,Mail_Id,Product_Name,Product_Cost,Date
1,1,nirekshan@gmail.com,Samsung,10000,11/06/2019
2,2,kedar@gmail.com,iPhone 8,20000,11/06/2019
3,3,Daniel@gmail.com,Kindle Paper White,10000,10/31/2019
4,4,prasad@gmail.com,hTC mobile,15000,11/02/2019
5,1,nirekshan@gmail.com,Samsung,10000,11/02/2019
6,5,partha@gmail.com,iPhone 9,30000,11/06/2019
7,4,prasad@gmail.com,hTC mobile,15000,11/10/2019
8,6,shahid@gmail.com,iPad,70000,09/01/2019
9,4,prasad@gmail.com,LG Washing Machine,25000,09/02/2019
10,2,kedar@gmail.com,iPhone 8,20000,09/06/2019
11,3,Daniel@gmail.com,Kindle Paper White,10000,09/06/2019
12,3,Daniel@gmail.com,Sofa set,50000,09/06/2019
13,2,kedar@gmail.com,iPhone 8,20000,11/06/2019
14,1,nirekshan@gmail.com,Samsung,10000,11/02/2019
15,1,nirekshan@gmail.com,Kindle Paper White,20000,09/06/2019




