Order_Id,Customer_Name,Customer_Id,Product_Name,Product_Cost,Pur_Date
1023,Venki,15,27in FHD Monitor,59000,1/1/2019 0:00
1024,Chaithanya,14,iPhone 11,69000,1/1/2019 1:00
1025,Shahid,20,Bose SoundSport Headphones,65999,1/1/2019 2:00
1026,Veeru,3,Apple iPad 10.2-inch,63999,1/1/2019 3:00
1027,Venu,23,Google Phone,63999,1/1/2019 4:00
1028,Daniel,6,Samsung Galaxy S9 Plus,63999,1/1/2019 5:00
1029,Venu,23,iPhone 11,61000,1/1/2019 6:00
1030,Shafi,25,27in FHD Monitor,63000,1/1/2019 7:00
1031,Kedar,2,20in Monitor,55999,1/1/2019 8:00
1032,Neelima,19,LG Washing Machine,63000,1/1/2019 9:00
1033,Vijay,9,iPhone 7s,60000,1/1/2019 10:00
1034,Tarun,11,Samsung Galaxy S20,69999,1/1/2019 11:00
1035,Kedar,2,Google Phone,55999,1/1/2019 12:00
1036,Chaithanya,14,LG ThinQ Refrigerator ,69999,1/1/2019 13:00
1037,Nireekshan,1,Apple Airpods Headphones,55999,1/1/2019 14:00
1038,Daniel,6,Samsung Galaxy S20,60000,1/1/2019 15:00
1039,Karteek,4,Samsung Galaxy S9 Plus,60000,1/1/2019 16:00
1040,Sumanth,22,iPhone 8,65999,1/1/2019 17:00
1041,Venki,15,Samsung Galaxy S20,50000,1/1/2019 18:00
1042,Mallikarjun,13,Google Phone,65999,1/1/2019 19:00
1043,Vinay,10,Apple Airpods Headphones,61000,1/1/2019 20:00
1044,Sumanth,22,Samsung Galaxy S20,65000,1/1/2019 21:00
1045,Lavanya,16,iPhone 7s,51999,1/1/2019 22:00
1046,Madhurima,7,Macbook Pro Laptop,50000,1/1/2019 23:00
1047,Shafi,25,LG Washing Machine,63999,1/2/2019 0:00
1048,Partha,8,Samsung Galaxy S9 Plus,75000,1/2/2019 1:00
1049,Shahid,20,iPhone 11,65999,1/2/2019 2:00
1050,Veeru,3,LG Mobile,51999,1/2/2019 3:00
1051,Lavanya,16,LG Washing Machine,75000,1/2/2019 4:00
1052,Siddhu,18,27in FHD Monitor,69999,1/2/2019 5:00
1053,Chaithanya,14,iPhone 8,60000,1/2/2019 6:00
1054,Venu,23,Apple iPad 10.2-inch,65999,1/2/2019 7:00
1055,Siddhu,18,Google Phone,55999,1/2/2019 8:00
1056,Karteek,4,20in Monitor,63000,1/2/2019 9:00
1057,Tarun,11,iPhone 11,55999,1/2/2019 10:00
1058,Jaya Chandra,21,iPhone 8,50000,1/2/2019 11:00
1059,Sumanth,22,Google Phone,69999,1/2/2019 12:00
1060,Daniel,6,Bose SoundSport Headphones,63000,1/2/2019 13:00
1061,Shahid,20,Apple iPad 10.2-inch,63000,1/2/2019 14:00
1062,Tarun,11,LG Washing Machine,61000,1/2/2019 15:00
1063,Madhurima,7,ThinkPad Laptop,69999,1/2/2019 16:00
1064,Siddhu,18,Apple Airpods Headphones,60000,1/2/2019 17:00
1065,Madhurima,7,20in Monitor,75999,1/2/2019 18:00
1066,Venki,15,20in Monitor,59000,1/2/2019 19:00
1067,Shafi,25,Flatscreen TV,69000,1/2/2019 20:00
1068,Vinay,10,Samsung Galaxy S9 Plus,75999,1/2/2019 21:00
1069,Partha,8,Samsung Galaxy S20,65999,1/2/2019 22:00
1070,Chaithanya,14,Apple Airpods Headphones,63999,1/2/2019 23:00
1071,Venu,23,iPhone 11,65999,1/3/2019 0:00
1072,Balaji,12,Macbook Pro Laptop,61000,1/3/2019 1:00
1073,Neelima,19,LG Mobile,69999,1/3/2019 2:00
1074,Sumanth,22,Apple iPad 10.2-inch,69999,1/3/2019 3:00
1075,Veeru,3,Samsung Galaxy S20,65999,1/3/2019 4:00
1076,Tarun,11,LG Washing Machine,75999,1/3/2019 5:00
1077,Balaji,12,iPhone 11,69000,1/3/2019 6:00
1078,Venki,15,iPhone 7s,50000,1/3/2019 7:00
1079,Tarun,11,Macbook Pro Laptop,75000,1/3/2019 8:00
1080,Shahid,20,27in FHD Monitor,50000,1/3/2019 9:00
1081,Mallikarjun,13,Apple Airpods Headphones,75999,1/3/2019 10:00
1082,Karteek,4,Apple Airpods Headphones,65000,1/3/2019 11:00
1083,Tarun,11,Macbook Pro Laptop,65999,1/3/2019 12:00
1084,Sumanth,22,Bose SoundSport Headphones,55000,1/3/2019 13:00
1085,Tarun,11,Flatscreen TV,65000,1/3/2019 14:00
1086,Balaji,12,LG Mobile,63999,1/3/2019 15:00
1087,Neelima,19,Apple iPad 10.2-inch,50000,1/3/2019 16:00
1088,Siddhu,18,LG Mobile,55999,1/3/2019 17:00
1089,Shahid,20,Apple iPad 10.2-inch,69000,1/3/2019 18:00
1090,Sumanth,22,Google Phone,69999,1/3/2019 19:00
1091,Venu,23,Google Phone,60000,1/3/2019 20:00
1092,Karteek,4,27in FHD Monitor,55999,1/3/2019 21:00
1093,Nireekshan,1,20in Monitor,65000,1/3/2019 22:00
1094,Shahid,20,34in Ultrawide Monitor,61000,1/3/2019 23:00
